FILE_NAME	READ_NAME	LENGTH
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262739316/ccs	15207
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262803984/ccs	21170
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262738564/ccs	16520
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262738926/ccs	14160
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262803981/ccs	26070
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257232628/ccs	17783
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257036282/ccs	15545
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257036483/ccs	28165
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262737195/ccs	16609
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257167108/ccs	13832
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257166445/ccs	16431
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262803600/ccs	16437
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257102135/ccs	17263
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257036226/ccs	23028
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257102291/ccs	14965
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257167336/ccs	18957
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262803234/ccs	17630
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257103197/ccs	16739
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257102378/ccs	14098
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257167049/ccs	18606
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262739255/ccs	21038
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257168897/ccs	17440
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257036531/ccs	18323
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257038098/ccs	21957
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257167739/ccs	16091
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257101816/ccs	16203
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257102374/ccs	19653
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/262738646/ccs	20382
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257232359/ccs	12871
W621.hifi_reads_test_Nremove.fastq	@m84126_250220_160112_s2/257101972/ccs	15502
