task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	74/d9e697	9565	bam2fastq (1)	CACHED	0	2025-07-09 18:32:16.547	3m 28s	3m 25s	4.5%	167 MB	5.6 GB	92.9 MB	13.2 MB
4	39/f0d2c5	15571	bam2fastq (2)	CACHED	0	2025-07-09 18:47:31.512	2m 52s	2m 49s	5.3%	168.2 MB	5.6 GB	92.9 MB	13.1 MB
7	2a/af043f	18069	Nremove (2)	CACHED	0	2025-07-09 18:50:23.507	15.1s	3.6s	1.3%	3.2 MB	19.4 MB	32.9 MB	19.6 MB
6	24/8613b9	15630	Nremove (1)	CACHED	0	2025-07-09 18:47:31.597	22.3s	7.4s	0.7%	3 MB	19.4 MB	33.2 MB	19.8 MB
8	cb/0471c2	4250	fastqc (1)	CACHED	0	2025-07-10 13:30:35.233	19.3s	16.5s	16.4%	236.8 MB	3.3 GB	29.6 MB	847.4 KB
5	f1/524d73	2387	fastqc (1)	CACHED	0	2025-07-10 13:02:07.803	19.6s	17s	18.2%	240 MB	3.3 GB	29.7 MB	852.8 KB
11	62/9db47c	10695	read_length (1)	CACHED	0	2025-07-10 13:42:13.312	33.2s	5.2s	0.4%	0	0	6.7 MB	15.3 KB
12	50/5fdbb6	10726	read_length (2)	CACHED	0	2025-07-10 13:42:13.349	32.8s	5.4s	0.4%	3 MB	19.4 MB	6.7 MB	15.3 KB
9	5e/9a8013	41108	read_cutoff (1)	CACHED	0	2025-07-10 20:20:53.878	29.4s	8.2s	0.4%	3 MB	19.4 MB	19.8 MB	6.5 MB
13	4b/bb0156	41118	read_cutoff (2)	CACHED	0	2025-07-10 20:20:53.908	30.2s	8s	0.5%	3 MB	19.4 MB	20 MB	6.6 MB
15	0c/0fb99f	42368	read_length (3)	CACHED	0	2025-07-10 20:21:24.095	23.7s	2.8s	0.6%	0	0	134.8 KB	256 B
16	05/065a13	42453	read_length (4)	CACHED	0	2025-07-10 20:21:25.114	27.2s	3.6s	0.6%	0	0	134.8 KB	256 B
18	1b/737382	45460	plot_read_length (1)	CACHED	0	2025-07-10 20:31:52.755	57.2s	53.3s	7.6%	203.5 MB	342.5 MB	19.1 MB	1.1 MB
1	6e/680cfa	898	backup	COMPLETED	0	2025-07-11 11:59:59.097	15.2s	2s	0.6%	0	0	113.6 KB	318 B
2	1e/de1c71	909	workflowParam	COMPLETED	0	2025-07-11 11:59:59.118	20.7s	3.7s	0.8%	2.8 MB	19.4 MB	142.7 KB	1.4 KB
17	b7/6dba2a	1092	print_report (1)	COMPLETED	0	2025-07-11 12:00:00.365	31.6s	27.6s	3.0%	123.8 MB	272 MB	16.3 MB	690.6 KB
10	59/c7980b	953	kraken (1)	COMPLETED	0	2025-07-11 11:59:59.344	1m 5s	1m 3s	10.1%	7.4 GB	7.5 GB	7.5 GB	1.1 MB
14	cd/187d48	2747	kraken (2)	COMPLETED	0	2025-07-11 12:01:04.350	1m 10s	1m 8s	10.7%	7.5 GB	7.5 GB	7.5 GB	1.1 MB
19	a0/8d2066	33529	multiQC	CACHED	0	2025-07-10 18:58:04.670	55.4s	54s	4.9%	71.5 MB	85 MB	57 MB	2.4 MB
